tag,question,context,,,,,,,,,,,,,,,,,,,,,,,,
3yeardegree,do you accept three year degrees from India,We accept three-year degree from universities in India if it was from an A ranked institution and you were in the first class. If you have a three-year degree from another country please email at gradanalytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
3yeardegree,"if i have a three year undergraduate degree, am i eligible to apply",We accept three-year degree from universities in India if it was from an A ranked institution and you were in the first class. If you have a three-year degree from another country please email at gradanalytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
3yeardegree,Is 3 years bachelors degree acceptable,We accept three-year degree from universities in India if it was from an A ranked institution and you were in the first class. If you have a three-year degree from another country please email at gradanalytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
3yeardegree,is three year bachelors degree from India accepted,We accept three-year degree from universities in India if it was from an A ranked institution and you were in the first class. If you have a three-year degree from another country please email at gradanalytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
3yeardegree,Does your university accept fifteen years of education,We accept three-year degree from universities in India if it was from an A ranked institution and you were in the first class. If you have a three-year degree from another country please email at gradanalytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
additional certificates,I want to provide additional online learning certificates for your consideration.,Please forward these documents directly to the Office of Graduate Admissions: gradmail@georgetown.edu.,,,,,,,,,,,,,,,,,,,,,,,,
additional certificates,Can i attach additional certification to my application,Please forward these documents directly to the Office of Graduate Admissions: gradmail@georgetown.edu.,,,,,,,,,,,,,,,,,,,,,,,,
additional certificates,how can i add online certificates to my application,,,,,,,,,,,,,,,,,,,,,,,,,
additional certificates,can i add certificates to my application,Please forward these documents directly to the Office of Graduate Admissions: gradmail@georgetown.edu.,,,,,,,,,,,,,,,,,,,,,,,,
additional certificates,where can i add online certificates in my application,Please forward these documents directly to the Office of Graduate Admissions: gradmail@georgetown.edu.,,,,,,,,,,,,,,,,,,,,,,,,
admission,Can I apply for the data science program?,Please review the program admission requirements on our website https://analytics.georgetown.edu/admissions/requirements/,,,,,,,,,,,,,,,,,,,,,,,,
admission,can you help me with admission requirements.,Please review the program admission requirements on our website https://analytics.georgetown.edu/admissions/requirements/,,,,,,,,,,,,,,,,,,,,,,,,
admission,Can you tell me if I eligible for the program,Please review the program admission requirements on our website https://analytics.georgetown.edu/admissions/requirements/,,,,,,,,,,,,,,,,,,,,,,,,
admission,Could you please help me with the eligibility to apply for this course?,Please review the program admission requirements on our website https://analytics.georgetown.edu/admissions/requirements/,,,,,,,,,,,,,,,,,,,,,,,,
admission,I wanted to check if I am qualified to apply for the program?,Please review the program admission requirements on our website https://analytics.georgetown.edu/admissions/requirements/,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,May I please schedule a video call with an admissions officer to learn more about the program and the funding opportunities that exist?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I am hoping to connect with an admissions counselor to ask a few questions about the program and the application process.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Can I please speak with someone in the department to get some more information?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I wanted to talk to someone a little more about Georgetown's program to see if it's the best fit for me,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,"Could I get an opportunity to connect with you,Ami or anyone from the DS&A team at Georgetown over a zoom or phone call?",Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Do you host a seminar or have any resources which would help me decide?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I would love to speak to someone on the phone about the program and the admissions process.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,"If I could schedule a thirty minute conversation with someone, that would be great!",Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Would someone in the admissions department be available to chat sometime next week?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Would a representative be available to speak with me?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Is there way that i can talk to military advisor there,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I wanted to have a chat to understand what would be better for me considering my current situation/objectives.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Is it posible that I could have an on-campus visit this week?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Can I schedule a time to speak with an admissions counselor over the course?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I would like to sit down with an advisor to discuss my options,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I was hoping if we could meet up someday,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,"I was hoping to arrange a campus visit and if possible, to meet current students and sit in on a class.",Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,Wondering if you have any time to meet this week to discuss who are the typical applicants for this program and what are the exit opportunities of graduates from this program.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I was wondering if you could provide a few current students or alumni's contact information so that I can learn more about students day-to-day experience as well as career after the program.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,have a few questions about the program and will be grateful if an analytics grad student can contact me. I am available for a chat or a meetup.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,"I would like to schedule a meeting with the staff of the program to talk about my background and motivations to continue grad school in data science at Georgetown, as well as get to know the program better.",Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I was wondering if there are any courses I could sit in on?,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I would like to talk to someone to learn more about the Masters program in Analytics,Please send us an email at gradanalaytics@georgetown.edu ,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,can someone help me with campus tour,Please send us an email at gradanalaytics@georgetown.edu ,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,I will like to have a phone or virtual call with the representative of the admissions committee to understand more about how Georgetown University could help accelerate my personal and career goals.,Please send us an email at gradanalaytics@georgetown.edu,,,,,,,,,,,,,,,,,,,,,,,,
Appointment,can I contact someone for further assistance,Please send us an email at gradanalaytics@georgetown.edu ,,,,,,,,,,,,,,,,,,,,,,,,
Class Size,what is the nominal class size each year?,"There are typically 100-120 students in each incoming class. However, please be assured that our class sizes remain small -- typically there are 25-35 students per classroom, so our students are ensured individual attention.",,,,,,,,,,,,,,,,,,,,,,,,
Class Size,what is the class size on average each year,"There are typically 100-120 students in each incoming class. However, please be assured that our class sizes remain small -- typically there are 25-35 students per classroom, so our students are ensured individual attention.",,,,,,,,,,,,,,,,,,,,,,,,
Class Size,how many students are accepted into the program on an average,"There are typically 100-120 students in each incoming class. However, please be assured that our class sizes remain small -- typically there are 25-35 students per classroom, so our students are ensured individual attention.",,,,,,,,,,,,,,,,,,,,,,,,
Class Size,what would be the class size of the ms analytics program ,"There are typically 100-120 students in each incoming class. However, please be assured that our class sizes remain small -- typically there are 25-35 students per classroom, so our students are ensured individual attention.",,,,,,,,,,,,,,,,,,,,,,,,
Class Size,May I know the estimated class size for the upcoming Fall term?,"There are typically 100-120 students in each incoming class. However, please be assured that our class sizes remain small -- typically there are 25-35 students per classroom, so our students are ensured individual attention.",,,,,,,,,,,,,,,,,,,,,,,,
Defer,"According to the link, do you allow for deferral?","If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
Defer,Will you need a new application for next year?,"If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
Defer,How many semesters can the admission be defer?,"If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
Defer,can i defer to the next fall,"If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
Defer,Do I have to pay the $500 deposit and then apply for deferral?,"If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
Defer,"When denied, can I still attend the school as it was originally offered?","If you decide to request a deferral, you can do so here: https://grad.georgetown.edu/deferral/. You wouldn't get denied if you request to defer. But if you change your mind you can always cancel your deferment and enroll in the current year. You can defer your start date by one year only. If you need to wait longer than that, you would have to re-apply. If you have additional queries please contact gradanalytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
domestic/international applicant,"I’m a US citizen, but I completed my bachelors in India so will I be a domestic or an international student?","Since you are a U.S. citizen, you would be considered a domestic applicant. However, because you graduated from an international institution, you will need to provide WES-evaluated transcripts.",,,,,,,,,,,,,,,,,,,,,,,,
duolingo,Does your program accept the Duolingo English Test instead of TOEFL/IELTS?,"No, the Duolingo English test does not satisfy the requirements. Please check https://analytics.georgetown.edu/admissions/requirements/ for English Language requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
duolingo,Could you please share information about Duolingo English Test Score requirements?,"No, the Duolingo English test does not satisfy the requirements. Please check https://analytics.georgetown.edu/admissions/requirements/ for English Language requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
duolingo,Do you accept the Duolingo test for English proficiency,"No, the Duolingo English test does not satisfy the requirements. Please check https://analytics.georgetown.edu/admissions/requirements/ for English Language requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
duolingo,May I know do you accept TOEFL Special Home edition and Duolingo test?,"No, the Duolingo English test does not satisfy the requirements. Please check https://analytics.georgetown.edu/admissions/requirements/ for English Language requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
duolingo,Do you accept the Duolingo English test,"No, the Duolingo English test does not satisfy the requirements. Please check https://analytics.georgetown.edu/admissions/requirements/ for English Language requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
full_time_work,Is it possible to have a full-time job while being a full-time student?,Students are strongly discouraged from doing this. You are putting both your job performance and your academic performance at risk when you attempt this.,,,,,,,,,,,,,,,,,,,,,,,,
full_time_work,can i work full time while completing the course,Students are strongly discouraged from doing this. You are putting both your job performance and your academic performance at risk when you attempt this.,,,,,,,,,,,,,,,,,,,,,,,,
funding,Are there any scholarship/ funding available for International students,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,Kindly share additional information on financial support and scholarship to enable me make an informed decision about the application process for Spring 2023.,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,I would be more than happy to know about the further requirement to get enrolled in the program and also regarding the requirements for getting the Assistantship.,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,Can you please let me know if there is any scholarship available based on the GPA of undergraduate studies?,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,Can I be considered for scholarship,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,Can my scholarship be increased?,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
funding,I have some questions regarding RA positions?,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
